강좌명,강사명,교육시작일자,교육종료일자,교육시작시각,교육종료시각,강좌내용,교육대상구분,교육방법구분,운영요일,교육장소,강좌정원수,수강료,교육장도로명주소,운영기관명,운영기관전화번호,접수시작일자,접수종료일자,접수방법구분,선정방법구분,홈페이지주소,직업능력개발훈련비지원강좌여부,학점은행제평가(학점)인정여부,평생학습계좌제평가인정여부,데이터기준일자
[개포2] 다양한 맛 세계의 일품요리,노주영,2026-05-22,2026-08-14,14:00,16:00,요리,성인,오프라인,금요일,개포평생학습센터 요리실,16,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[수서2] 클래식, 드디어 들린다",김주경,2026-05-22,2026-08-14,14:00,16:00,기타,성인,오프라인,금요일,수서평생학습센터 일반강의실,16,72000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 재미있게 쉽게 배우는 일본어(중급),정은경,2026-05-22,2026-08-14,14:00,16:00,일본어,성인,오프라인,금요일,개포평생학습센터 강의실,20,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 하모니카(중급),김봉주,2026-05-22,2026-08-14,11:00,11:50,악기,성인,오프라인,금요일,수서평생학습센터 음악강의실,10,36000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2]글로벌 경제와 증시투자 이해[기본],반종민,2026-05-22,2026-08-14,10:00,12:00,기타,성인,오프라인,금요일,논현글로벌평생학습센터 3층 4강의실,16,72000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[논현2]세계풍경, 여행을 그리다",이수정,2026-05-22,2026-08-14,10:00,12:00,미술/서예,성인,오프라인,금요일,논현글로벌평생학습센터 3층 2강의실,16,72000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2]유럽을 읽는 건축여행,김성은,2026-05-22,2026-08-14,10:00,12:00,기타,성인,오프라인,금요일,논현글로벌평생학습센터 3층 1강의실,16,72000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 서양미술사 산책,김동현,2026-05-22,2026-08-14,10:00,12:00,인문/독서,성인,오프라인,금요일,수서평생학습센터 일반강의실,16,72000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 마음을 담은 색연필화,김민구,2026-05-22,2026-08-14,10:00,12:00,미술/서예,성인,오프라인,금요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 법원경매의 입문과 부동산의 활용실무,김희열,2026-05-22,2026-08-14,10:00,12:00,기타,성인,오프라인,금요일,일원평생학습센터 강의실,35,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 도전 문학창작 글쓰기,최명숙,2026-05-22,2026-08-14,10:00,12:00,인문/독서,성인,오프라인,금요일,일원평생학습센터 강의실,20,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 영어그림책을 낭독하며 행복한 시간,최현희,2026-05-22,2026-08-14,10:00,12:00,영어,성인,오프라인,금요일,일원평생학습센터 강의실,25,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[일원2] 오전의 소묘 (연필, 콘테, 오일파스텔)",장용철,2026-05-22,2026-08-14,10:00,12:00,미술/서예,성인,오프라인,금요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 이탈리안 브런치,노주영,2026-05-22,2026-08-14,10:00,12:00,요리,성인,오프라인,금요일,개포평생학습센터 요리실,16,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 하모니카(기초&초급),김봉주,2026-05-22,2026-08-14,10:00,10:50,악기,성인,오프라인,금요일,수서평생학습센터 음악강의실,10,36000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 로마 역사와 함께하는 로마 미술관 투어,권미란,2026-05-22,2026-08-14,10:00,12:00,기타,성인,오프라인,금요일,개포평생학습센터 강의실,25,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[일원2-저녁] AI로 배우는 로고 디자인, 나도 로고 작가되기(A/6회)",문서현,2026-05-21,2026-06-25,19:00,21:00,디지털,성인,오프라인,목요일,일원평생학습센터 강의실,16,36000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2-저녁] 마음이 쉬어가는 통기타 클래스(기초),임곤정,2026-05-21,2026-08-06,19:00,21:00,악기,성인,오프라인,목요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2-저녁] 경제방송 앵커와 코스피 5000 시대의 흐름 읽기,김호수,2026-05-21,2026-08-06,19:00,21:00,기타,성인,오프라인,목요일,일원평생학습센터 강의실,40,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2-저녁] 아는 만큼 맛있고 재미있는 와인 이야기,조정란,2026-05-21,2026-08-06,19:00,21:00,기타,성인,오프라인,목요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[일원2-저녁] 수채화, 일상을 물들이다",송효정,2026-05-21,2026-08-06,19:00,21:00,미술/서예,성인,오프라인,목요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2-저녁] 퍼스널컬러 이미지브랜딩(A/6회),유지현,2026-05-21,2026-06-25,19:00,21:00,기타,성인,오프라인,목요일,일원평생학습센터 강의실,16,36000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 목요 피아노(C),문보영,2026-05-21,2026-08-06,15:30,16:20,악기,성인,오프라인,목요일,수서평생학습센터 음악강의실,5,78000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 목요 피아노(B),문보영,2026-05-21,2026-08-06,14:30,15:20,악기,성인,오프라인,목요일,수서평생학습센터 음악강의실,5,78000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2]원어민과 함께하는 쿼라(Quora) 생생영어,Brian Stuart,2026-05-21,2026-08-06,14:00,16:00,영어,성인,오프라인,목요일,논현글로벌평생학습센터 3층 2강의실,20,72000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 올라 스페인 문화 기행(A/6회),한준,2026-05-21,2026-06-25,14:00,16:00,기타,성인,오프라인,목요일,일원평생학습센터 강의실,30,36000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 미술관에 간 심리학(이론+실습),문주,2026-05-21,2026-08-06,14:00,16:00,기타,성인,오프라인,목요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[일원2] 소리내어 읽는 즐거움, 힐링 보이스 시낭송",김수미,2026-05-21,2026-08-06,14:00,16:00,기타,성인,오프라인,목요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 편하게 노래하는 발성법,심원민,2026-05-21,2026-08-06,14:00,16:00,노래/민요,성인,오프라인,목요일,일원평생학습센터 강의실,18,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[일원2] AI와 함께, 유튜브 크리에이터 도전",김희은,2026-05-21,2026-08-06,14:00,16:00,디지털,성인,오프라인,목요일,일원평생학습센터 강의실,18,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 행복을 담은 그림 민화(중급),박현숙,2026-05-21,2026-08-06,14:00,16:00,미술/서예,성인,오프라인,목요일,개포평생학습센터 강의실,16,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 드라마로 익히는 일본어(중급),박소영,2026-05-21,2026-08-06,14:00,16:00,일본어,성인,오프라인,목요일,일원평생학습센터 강의실,25,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 법원경매 캠코공매,이지성,2026-05-21,2026-08-06,14:00,16:00,기타,성인,오프라인,목요일,수서평생학습센터 일반강의실,16,72000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 정갈한 맛 일본요리,노주영,2026-05-21,2026-08-06,14:00,16:00,요리,성인,오프라인,목요일,개포평생학습센터 요리실,16,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 목요 피아노(A),문보영,2026-05-21,2026-08-06,13:30,14:20,악기,성인,오프라인,목요일,수서평생학습센터 음악강의실,5,78000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 클래식 피아노(C),김세희,2026-05-21,2026-08-06,11:30,12:20,악기,성인,오프라인,목요일,수서평생학습센터 음악강의실,5,78000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 클래식 피아노(B),김세희,2026-05-21,2026-08-06,10:30,11:20,악기,성인,오프라인,목요일,수서평생학습센터 음악강의실,5,78000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[논현2]AI와 함께, 유튜브 크리에이터 도전",김희은,2026-05-21,2026-08-06,10:00,12:00,디지털,성인,오프라인,목요일,논현글로벌평생학습센터 2층 커뮤니티실,12,72000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 스마트폰 인생샷 마스터클래스,이인희,2026-05-21,2026-08-06,10:00,12:00,취미,성인,오프라인,목요일,개포평생학습센터 강의실,16,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 스마트폰 인생샷 마스터 클래스,이인희,2026-05-21,2026-08-06,10:00,12:00,취미,성인,오프라인,목요일,개포평생학습센터 강의실,16,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 연필 드로잉,김래형,2026-05-21,2026-08-06,10:00,12:00,미술/서예,성인,오프라인,목요일,일원평생학습센터 강의실,20,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 트렌드 디저트(A/4회),김하연,2026-05-21,2026-06-11,10:00,12:00,요리,성인,오프라인,목요일,개포평생학습센터 요리실,12,24000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 실전 국내 증시투자 바로알기(기본),반종민,2026-05-21,2026-08-06,10:00,12:00,기타,성인,오프라인,목요일,일원평생학습센터 강의실,35,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] (시니어)AI와 함께하는 FUN 스마트폰 활용,최영하,2026-05-21,2026-08-06,10:00,12:00,디지털,성인,오프라인,목요일,일원평생학습센터 강의실,18,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[일원2] 스토리 클래식, 작곡가 6人6色",김주경,2026-05-21,2026-08-06,10:00,12:00,기타,성인,오프라인,목요일,일원평생학습센터 강의실,25,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 나만의 사진 작품 만들기,강승진,2026-05-21,2026-08-06,10:00,12:00,기타,성인,오프라인,목요일,일원평생학습센터 강의실,18,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 현지에서 먹히는 여행 일본어(초급),박소영,2026-05-21,2026-08-06,10:00,12:00,일본어,성인,오프라인,목요일,수서평생학습센터 일반강의실,16,72000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 프랑스 자수,조정선,2026-05-21,2026-08-06,10:00,14:00,도자기/공예,성인,오프라인,목요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 클래식 피아노(A),김세희,2026-05-21,2026-08-06,09:30,10:20,악기,성인,오프라인,목요일,수서평생학습센터 음악강의실,5,78000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2]원어민과 함께하는 비즈니스 영어,Andrew P. Otto,2026-05-20,2026-08-12,19:00,21:00,영어,성인,오프라인,수요일,논현글로벌평생학습센터 3층 4강의실,16,72000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2]짠테크부터 주식투자까지  재테크 로드맵 완성(A/6회),김운아,2026-05-20,2026-07-01,19:00,21:00,기타,성인,오프라인,수요일,논현글로벌평생학습센터 3층 2강의실,20,36000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2]상상 그 이상 AI 영상 스튜디오(A/6회),민지애,2026-05-20,2026-07-01,19:00,21:00,디지털,성인,오프라인,수요일,논현글로벌평생학습센터 3층 1강의실,16,36000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2]영어 토탈리스닝(초·중급),유선화,2026-05-20,2026-08-12,14:00,16:00,영어,성인,오프라인,수요일,논현글로벌평생학습센터 3층 4강의실,16,72000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2]자신감있는 품격 스피치(A/6회),김선주,2026-05-20,2026-07-01,14:00,16:00,기타,성인,오프라인,수요일,논현글로벌평생학습센터 3층 2강의실,16,36000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 프리미엄 마스터피스 플라워 클래스,김태실,2026-05-20,2026-08-12,14:00,16:00,취미,성인,오프라인,수요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 영어 스피킹&라이팅 핵심 뽀개기,임수진,2026-05-20,2026-08-12,14:00,16:00,영어,성인,오프라인,수요일,일원평생학습센터 강의실,30,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 처음에도 OK AI로 만드는 나만의 동화책 (플립북&오디오북),김충효,2026-05-20,2026-08-12,14:00,16:00,디지털,성인,오프라인,수요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 미래힐링 사주명리학,안상호,2026-05-20,2026-08-12,14:00,16:00,기타,성인,오프라인,수요일,일원평생학습센터 강의실,30,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 명작동화 속에 숨어있는 철학이야기,박혜순,2026-05-20,2026-08-12,14:00,16:00,인문/독서,성인,오프라인,수요일,일원평생학습센터 강의실,18,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
